area_name,path,us_state,url,lnglat
Fort Dodge,Fort Dodge,Iowa,https://www.mountainproject.com/area/119168286/fort-dodge,"[-94.20415, 42.51068]"
Decorah,Decorah,Iowa,https://www.mountainproject.com/area/112792148/decorah,"[-91.787, 43.30072]"
Crapo Park,Crapo Park,Iowa,https://www.mountainproject.com/area/121266358/crapo-park,"[-91.09776, 40.77527]"
Coralville Lake Bouldering,Coralville Lake Bouldering,Iowa,https://www.mountainproject.com/area/118879111/coralville-lake-bouldering,"[-93.5376, 41.935]"
Chimney Rocks,Chimney Rocks,Iowa,https://www.mountainproject.com/area/106673263/chimney-rocks,"[-91.9346, 43.4305]"
Centennial Park,Centennial Park,Iowa,https://www.mountainproject.com/area/117156412/centennial-park,"[-91.62431, 41.73703]"
Wildcat Den (respect closure),Wildcat Den (respect closure),Iowa,https://www.mountainproject.com/area/108303676/wildcat-den-respect-closure,"[-90.8749, 41.4662]"
Waldo's Rock Park,Waldo's Rock Park,Iowa,https://www.mountainproject.com/area/118170033/waldos-rock-park,"[-91.54207, 42.02717]"
Silo Ice Climbing,Silo Ice Climbing,Iowa,https://www.mountainproject.com/area/107415897/silo-ice-climbing,"[-92.5246, 42.5484]"
Hot Stuff Camp Roof,Backbone State Park|Hot Stuff Camp Roof,Iowa,https://www.mountainproject.com/area/117944427/hot-stuff-camp-roof,"[-91.5615, 42.6154]"
Upper and Lower Boulders,Joinerville (bouldering only)|Upper and Lower Boulders,Iowa,https://www.mountainproject.com/area/111881667/upper-and-lower-boulders,"[-90.75217, 42.08005]"
Trenchtown,Indian Bluffs|Trenchtown,Iowa,https://www.mountainproject.com/area/108470954/trenchtown,"[-91.0715, 42.2205]"
Red Rock / Northeast Face (respect closures),Indian Bluffs|Red Rock / Northeast Face (respect closures),Iowa,https://www.mountainproject.com/area/108470948/red-rock-northeast-face-respect-closures,"[-91.0715, 42.2205]"
Softball Crags,Dubuque|Softball Crags,Iowa,https://www.mountainproject.com/area/106383282/softball-crags,"[-90.6603, 42.4777]"
West Bluff,Dows|West Bluff,Iowa,https://www.mountainproject.com/area/121822974/west-bluff,"[-91.50264, 41.89758]"
East Bluff,Dows|East Bluff,Iowa,https://www.mountainproject.com/area/121822981/east-bluff,"[-91.50231, 41.89735]"
Cattesse Hollow,Dubuque|Cattesse Hollow,Iowa,https://www.mountainproject.com/area/106394917/cattesse-hollow,"[-90.6218, 42.4408]"
Mother Wall,Indian Bluffs|Mother Wall,Iowa,https://www.mountainproject.com/area/108470928/mother-wall,"[-91.0715, 42.2205]"
Golden Bowl / Red Rocks South Face,Indian Bluffs|Golden Bowl / Red Rocks South Face,Iowa,https://www.mountainproject.com/area/108470951/golden-bowl-red-rocks-south-face,"[-91.0715, 42.2205]"
Boulevard Wall,Indian Bluffs|Boulevard Wall,Iowa,https://www.mountainproject.com/area/108470925/boulevard-wall,"[-91.0715, 42.2205]"
