area_name,path,us_state,url,lnglat
Bear Rock,Central Valley|Bear Rock,Connecticut,https://www.mountainproject.com/area/112179154/bear-rock,"[-72.64888, 41.47119]"
Jacob's Rock,Central Valley|Jacob's Rock,Connecticut,https://www.mountainproject.com/area/114607410/jacobs-rock,"[-72.83311, 41.69069]"
Wooster Mountain State Park,Western Coastal Slope|Wooster Mountain State Park,Connecticut,https://www.mountainproject.com/area/107396730/wooster-mountain-state-park,"[-73.4688, 41.3546]"
Spider Cave,Stowaway Boulders|Spider Cave,Connecticut,https://www.mountainproject.com/area/121448203/spider-cave,"[-72.34409, 41.54422]"
Rock Lake,Eastern Coastal Slope|Rock Lake,Connecticut,https://www.mountainproject.com/area/112103033/rock-lake,"[-72.08787, 41.39695]"
Thomaston Ice Climbing (closed),CT Ice Climbing|Thomaston Ice Climbing (closed),Connecticut,https://www.mountainproject.com/area/106393216/thomaston-ice-climbing-closed,"[-73.076, 41.6532]"
Yale University Buildering,CT Bouldering|Yale University Buildering,Connecticut,https://www.mountainproject.com/area/112510590/yale-university-buildering,"[-72.92667, 41.31119]"
Winter Wall,Central Valley|Short Mountain|Winter Wall,Connecticut,https://www.mountainproject.com/area/112796459/winter-wall,"[-72.82228, 41.60216]"
Will Warren's Den,Central Valley|Rattlesnake Mountain|Will Warren's Den,Connecticut,https://www.mountainproject.com/area/108313930/will-warrens-den,"[-72.8325, 41.6989]"
Main Cliff,Central Valley|Ragged Mountain|Main Cliff,Connecticut,https://www.mountainproject.com/area/105799122/main-cliff,"[-72.82342, 41.6175]"
South Pinnacle Slab (Closed),Central Valley|Pinnacle Rock|South Pinnacle Slab (Closed),Connecticut,https://www.mountainproject.com/area/112573092/south-pinnacle-slab-closed,"[-72.83451, 41.67804]"
Right Wing Wall,Central Valley|Pinnacle Rock|Right Wing Wall,Connecticut,https://www.mountainproject.com/area/106134751/right-wing-wall,"[-72.8328, 41.6897]"
Rite of Spring,Central Valley|East Peak|Rite of Spring,Connecticut,https://www.mountainproject.com/area/107810817/rite-of-spring,"[-72.8343, 41.5569]"
Training Ground,Central Valley|Chauncey Peak|Training Ground,Connecticut,https://www.mountainproject.com/area/118735544/training-ground,"[-72.75914, 41.55744]"
Southern Wall,Central Valley|Cathole Mountain|Southern Wall,Connecticut,https://www.mountainproject.com/area/109407546/southern-wall,"[-72.81097, 41.55921]"
Upper Tier,Western Highlands|Whitestone Cliffs|Upper Tier,Connecticut,https://www.mountainproject.com/area/114774613/upper-tier,"[-73.05421, 41.62137]"
Right Side,Western Highlands|Whitestone Cliffs|Right Side,Connecticut,https://www.mountainproject.com/area/107214918/right-side,"[-73.05389, 41.62124]"
Main Slab,Western Highlands|Whitestone Cliffs|Main Slab,Connecticut,https://www.mountainproject.com/area/109081710/main-slab,"[-73.05422, 41.62122]"
Upper Tier,Eastern Highlands|Wolf Rock|Upper Tier,Connecticut,https://www.mountainproject.com/area/106586853/upper-tier,"[-72.21256, 41.75925]"
Lower Tier,Eastern Highlands|Wolf Rock|Lower Tier,Connecticut,https://www.mountainproject.com/area/106586862/lower-tier,"[-72.21256, 41.75925]"
Lower Lower Cliff,Western Highlands|Whitestone Cliffs|Lower Lower Cliff,Connecticut,https://www.mountainproject.com/area/109303497/lower-lower-cliff,"[-73.05457, 41.62088]"
Lower Cliff,Western Highlands|Whitestone Cliffs|Lower Cliff,Connecticut,https://www.mountainproject.com/area/109085946/lower-cliff,"[-73.05457, 41.62102]"
Rubix Cube,"CT Bouldering|Woodbridge Land Trust, Park Lane|Rubix Cube",Connecticut,https://www.mountainproject.com/area/106809258/rubix-cube,"[-72.9861, 41.3369]"
South of Power Lines,Central Valley|West Peak|Electric Rocks|South of Power Lines,Connecticut,https://www.mountainproject.com/area/108190304/south-of-power-lines,"[-72.82993, 41.58799]"
North of Power Lines,Central Valley|West Peak|Electric Rocks|North of Power Lines,Connecticut,https://www.mountainproject.com/area/108190300/north-of-power-lines,"[-72.82972, 41.5885]"
