area_name,path,us_state,url,lnglat
Griffin Falls,Griffin Falls,Alabama,https://www.mountainproject.com/area/105923472/griffin-falls,"[-85.9237, 34.2876]"
Fort Rucker Climbing Wall,Fort Rucker Climbing Wall,Alabama,https://www.mountainproject.com/area/114296768/fort-rucker-climbing-wall,"[-85.71805, 31.32453]"
"Dumps, The","Dumps, The",Alabama,https://www.mountainproject.com/area/110705691/the-dumps,"[-86.27799, 34.48449]"
Coosa Slabs,Coosa Slabs,Alabama,https://www.mountainproject.com/area/106087709/coosa-slabs,"[-86.2522, 32.6133]"
Cherokee Bluffs,Cherokee Bluffs,Alabama,https://www.mountainproject.com/area/106833394/cherokee-bluffs,"[-85.90765, 32.67095]"
Chewacla State Park,Chewacla State Park,Alabama,https://www.mountainproject.com/area/109749052/chewacla-state-park,"[-85.47827, 32.5493]"
bankhead forest/sipsey picnic area,bankhead forest/sipsey picnic area,Alabama,https://www.mountainproject.com/area/108146250/bankhead-forestsipsey-picnic-area,"[-86.8799, 33.7609]"
Bankhead Forest/Ship Rock,Bankhead Forest/Ship Rock,Alabama,https://www.mountainproject.com/area/106248455/bankhead-forestship-rock,"[-86.8799, 33.7609]"
LaGrange,LaGrange,Alabama,https://www.mountainproject.com/area/106328004/lagrange,"[-87.56, 34.65]"
Will Robinson Area,BankHead Forest/ Thompson Creek Trail|Will Robinson Area,Alabama,https://www.mountainproject.com/area/107605138/will-robinson-area,"[-86.8799, 33.7609]"
"Journey Area, The","BankHead Forest/ Thompson Creek Trail|Journey Area, The",Alabama,https://www.mountainproject.com/area/107605155/the-journey-area,"[-86.8799, 33.7609]"
Trussville Boulders,Trussville Boulders,Alabama,https://www.mountainproject.com/area/117394970/trussville-boulders,"[-86.59549, 33.63877]"
Temp HP40,Temp HP40,Alabama,https://www.mountainproject.com/area/107365709/temp-hp40,"[-86.30801, 33.92202]"
Slabs,Colbert Heights|Slabs,Alabama,https://www.mountainproject.com/area/106322456/slabs,"[-87.7051, 34.6784]"
Overhang,Colbert Heights|Overhang,Alabama,https://www.mountainproject.com/area/106322471/overhang,"[-87.7051, 34.6784]"
Creekside,Buck’s Pocket|Creekside,Alabama,https://www.mountainproject.com/area/121896921/creekside,"[-86.06007, 34.47493]"
Main Boulder Area,Colbert Heights|Main Boulder Area,Alabama,https://www.mountainproject.com/area/106322465/main-boulder-area,"[-87.7051, 34.6784]"
Omen Area,Bishop Mountain|Omen Area,Alabama,https://www.mountainproject.com/area/121946474/omen-area,"[-86.38401, 34.44612]"
Guntersville Roof,Lake Guntersville|Guntersville Roof,Alabama,https://www.mountainproject.com/area/120431512/guntersville-roof,"[-86.20993, 34.37369]"
Cliffline.,Colbert Heights|Cliffline.,Alabama,https://www.mountainproject.com/area/106322475/cliffline,"[-87.7051, 34.6784]"
Winter Wall,Jamestown|Winter Wall,Alabama,https://www.mountainproject.com/area/105907115/winter-wall,"[-85.62223, 34.52966]"
"Tower, The","Yellow Bluff|Tower, The",Alabama,https://www.mountainproject.com/area/106659640/the-tower,"[-86.6746, 34.4353]"
Right Side Cliff,Yellow Bluff|Right Side Cliff,Alabama,https://www.mountainproject.com/area/106413694/right-side-cliff,"[-86.6746, 34.4353]"
A0 Ledge,Yellow Bluff|A0 Ledge,Alabama,https://www.mountainproject.com/area/111972405/a0-ledge,"[-86.67675, 34.43603]"
West Campus,Tuscaloosa UA Campus|West Campus,Alabama,https://www.mountainproject.com/area/118741347/west-campus,"[-87.55021, 33.21276]"
Bouldering,Yellow Bluff|Bouldering,Alabama,https://www.mountainproject.com/area/106413697/bouldering,"[-86.48652, 34.64132]"
South Campus,Tuscaloosa UA Campus|South Campus,Alabama,https://www.mountainproject.com/area/118741266/south-campus,"[-87.54401, 33.20702]"
North - Dorms,Tuscaloosa UA Campus|North - Dorms,Alabama,https://www.mountainproject.com/area/114327313/north-dorms,"[-87.54424, 33.21809]"
East - Bryce Lawn and Beyond,Tuscaloosa UA Campus|East - Bryce Lawn and Beyond,Alabama,https://www.mountainproject.com/area/114335865/east-bryce-lawn-and-beyond,"[-87.53443, 33.21589]"
Central Campus,Tuscaloosa UA Campus|Central Campus,Alabama,https://www.mountainproject.com/area/114360317/central-campus,"[-87.544, 33.21155]"
White Wall,Jamestown|White Wall,Alabama,https://www.mountainproject.com/area/105905743/white-wall,"[-85.5737, 34.4112]"
Warm Up,Bishop Mountain|Right Bishop|Warm Up,Alabama,https://www.mountainproject.com/area/121944651/warm-up,"[-86.38678, 34.44049]"
Red,Bishop Mountain|Right Bishop|Red,Alabama,https://www.mountainproject.com/area/121944664/red,"[-86.38575, 34.4407]"
Stink Boulder,Bishop Mountain|Middle Bishop|Stink Boulder,Alabama,https://www.mountainproject.com/area/120427284/stink-boulder,"[-86.37744, 34.45649]"
Steven's Cave,Bishop Mountain|Middle Bishop|Steven's Cave,Alabama,https://www.mountainproject.com/area/120428462/stevens-cave,"[-86.37738, 34.45569]"
Space Billy Boulder,Bishop Mountain|Middle Bishop|Space Billy Boulder,Alabama,https://www.mountainproject.com/area/120428784/space-billy-boulder,"[-86.37778, 34.45604]"
Road Block,Bishop Mountain|Middle Bishop|Road Block,Alabama,https://www.mountainproject.com/area/120427002/road-block,"[-86.38114, 34.45573]"
Revelry Roof,Bishop Mountain|Middle Bishop|Revelry Roof,Alabama,https://www.mountainproject.com/area/120427714/revelry-roof,"[-86.37677, 34.45695]"
Proceed Boulders,Bishop Mountain|Middle Bishop|Proceed Boulders,Alabama,https://www.mountainproject.com/area/120431259/proceed-boulders,"[-86.37853, 34.4541]"
