area_name,path,us_state,url,lnglat
Goat Rock,Anchorage & South Central Alaska|Goat Rock,Alaska,https://www.mountainproject.com/area/113572394/goat-rock,"[-149.16774, 61.44309]"
Girdwood- Ryan's Rip,Anchorage & South Central Alaska|Girdwood- Ryan's Rip,Alaska,https://www.mountainproject.com/area/108969342/girdwood-ryans-rip,"[-149.08529, 60.96009]"
East Twin Peak,Anchorage & South Central Alaska|East Twin Peak,Alaska,https://www.mountainproject.com/area/110890814/east-twin-peak,"[-149.14482, 61.4447]"
Deep Water Bay,Anchorage & South Central Alaska|Deep Water Bay,Alaska,https://www.mountainproject.com/area/110562421/deep-water-bay,"[-148.38633, 60.4827]"
Snow River,Kenai Peninsula Rock and Ice|Snow River,Alaska,https://www.mountainproject.com/area/120082659/snow-river,"[-149.24737, 60.20936]"
Ice Cream Cone Mountain/Skybuster Peak,Anchorage & South Central Alaska|Metal Creek/Carpenter Creek/Friday Creek|Ice Cream Cone Mountain/Skybuster Peak,Alaska,https://www.mountainproject.com/area/119578853/ice-cream-cone-mountainskybuster-peak,"[-148.46842, 61.63572]"
Upper Long Lake,Anchorage & South Central Alaska|Long Lake (Revised)|Upper Long Lake,Alaska,https://www.mountainproject.com/area/107171040/upper-long-lake,"[-149.8755, 61.2174]"
Root Glacier,"Wrangell, St. Elias, University and Fairweather Ranges|Wrangell St. Elias Ice Climbing|Root Glacier",Alaska,https://www.mountainproject.com/area/112074206/root-glacier,"[-142.91301, 61.51486]"
Devil's Thumb,Southeastern Alaska/Coastal Range|Stikine Ice Cap|Devil's Thumb,Alaska,https://www.mountainproject.com/area/106363541/devils-thumb,"[-132.37399, 57.091]"
Windmill Rocks,Seward Peninsula|Nome-Teller Highway Bouldering|Windmill Rocks,Alaska,https://www.mountainproject.com/area/119622088/windmill-rocks,"[-165.4355, 64.56094]"
Stadium Slab,Kenai Peninsula Rock and Ice|Woznesensky Glacier|Stadium Slab,Alaska,https://www.mountainproject.com/area/108260013/stadium-slab,"[-151.02361, 59.5061]"
Peanut gullery,Kenai Peninsula Rock and Ice|Woznesensky Glacier|Peanut gullery,Alaska,https://www.mountainproject.com/area/108259945/peanut-gullery,"[-151.02905, 59.50553]"
